kepid,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_steff,koi_srad,koi_kepmag
8605074,FALSE POSITIVE,37.601661282,59130.1,8.30604,27.22,6140.0,1.096,15.505
8628973,CONFIRMED,3.314947362,1398.2,1.8007,3.94,5609.0,0.944,15.142
8655354,FALSE POSITIVE,6.71969089,969.7,3.0231,4.37,5931.0,0.866,15.172
8672910,CONFIRMED,39.6431552,15663.8,6.5292,10.98,5231.0,0.9,15.011
8686150,FALSE POSITIVE,51.42598578,66067.7,16.9422,29.66,6257.0,1.147,15.631
8689031,CONFIRMED,21.80451611,1144.9,3.4097,2.6,5481.0,0.708,15.067
8689373,CONFIRMED,10.28194593,1110.7,3.4366,2.53,5196.0,0.775,15.532
8689373,CONFIRMED,18.11993039,1506.9,4.2309,2.95,5196.0,0.775,15.532
8689373,CONFIRMED,3.78402867,426.1,1.9012,1.7,5196.0,0.775,15.532
8826878,CONFIRMED,5.15448142,697.5,3.228,2.94,5431.0,0.884,15.365
5897826,FALSE POSITIVE,33.80364366,13494.4,11.4813,20.7,5855.0,1.796,13.109
8883593,CONFIRMED,5.743469797,1240.2,3.4412,3.13,5897.0,0.891,15.543
9016295,FALSE POSITIVE,19.974485239,40293.1,4.23479,26.56,6108.0,0.997,15.217
9077124,CONFIRMED,3.166353562,1473.4,3.3129,3.82,6007.0,0.998,15.603
9097120,FALSE POSITIVE,23.899634407,20953.1,3.81881,44.04,6192.0,0.924,15.453
9466668,CONFIRMED,3.388012244,280.1,2.6849,2.11,5553.0,1.25,15.065
9466668,CONFIRMED,5.83909761,273.6,3.1915,2.06,5553.0,1.25,15.065
9466668,CONFIRMED,1.620467654,159.6,2.1888,1.57,5553.0,1.25,15.065
9466668,CONFIRMED,10.6816951,307.8,3.605,2.3,5553.0,1.25,15.065
9479273,CONFIRMED,6.104849417,2090.3,4.6912,3.18,5085.0,0.712,15.017
8359498,CONFIRMED,3.578780566,11382.2,2.91089,10.43,5524.0,0.994,13.938
9171801,FALSE POSITIVE,3.187067566,1037.4,3.119,23.88,5450.0,0.811,15.653
9334289,CONFIRMED,5.826657508,1539.1,2.9183,4.09,5561.0,1.06,15.843
9334289,CONFIRMED,12.41216347,611.3,3.739,2.58,5561.0,1.06,15.843
9334289,CONFIRMED,18.74649011,796.8,3.895,3.05,5561.0,1.06,15.843
9347899,CONFIRMED,20.86021229,1910.5,5.1937,5.5,6035.0,1.257,15.237
9347899,CONFIRMED,42.63427848,1719.3,6.1998,5.22,6035.0,1.257,15.237
9347899,CONFIRMED,87.6476068,1009.6,8.871,4.0,6035.0,1.257,15.237
9388479,CONFIRMED,9.467821474,2237.0,2.4327,2.13,3582.0,0.458,15.073
9388479,CONFIRMED,0.893040969,741.7,1.0981,1.24,3582.0,0.458,15.073
11359879,CONFIRMED,4.942783419,11144.7,3.25346,10.62,5514.0,0.978,13.758
9406990,CONFIRMED,20.83426731,988.4,4.0454,2.74,5537.0,0.88,15.412
